Dataset,Site,Tissue,cX project name,Slide,Condition,Platform,Pixel_Size,Nuclear_marker used for cell segmentation,Membrane_markers used for segmentation,FOV,Region,Region_sizeX,Region_sizeY,Region_coordX,Region_coordY
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-1,1,"10 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,10000,5500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-1,1,"10 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,10000,8060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-1,1,"10 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,13584,5500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-1,1,"10 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,13584,8060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-1,1,"10 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,14000,11000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-1,1,"10 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,14000,13560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-1,1,"10 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A07,3584,2560,17584,11000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-1,1,"10 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A08,3584,2560,17584,13560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-10,10,"20 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,9000,5000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-10,10,"20 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,9000,7560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-10,10,"20 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,12584,5000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-10,10,"20 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,12584,7560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-10,10,"20 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,12500,11500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-10,10,"20 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,12500,14060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-10,10,"20 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A07,3584,2560,16084,11500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-10,10,"20 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A08,3584,2560,16084,14060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-11,11,"20 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,9000,4000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-11,11,"20 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,9000,6560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-11,11,"20 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,12584,4000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-11,11,"20 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,12584,6560
