Source,Name,Marker
BIDMC,BIDMC_Slide1,CD4
BIDMC,BIDMC_Slide5,CD4
BIDMC,BIDMC_Slide9,CD4
BIDMC,BIDMC_Slide13,CD4
BIDMC,BIDMC_Slide17,CD4
BIDMC,BIDMC_Slide21,CD4
BIDMC,BIDMC_Slide21,CD138
BIDMC,BIDMC_Slide1,CD11b
BIDMC,BIDMC_Slide1,DCSIGN
BIDMC,BIDMC_Slide2,DCSIGN
BIDMC,BIDMC_Slide3,DCSIGN
BIDMC,BIDMC_Slide5,DCSIGN
BIDMC,BIDMC_Slide6,DCSIGN
BIDMC,BIDMC_Slide7,DCSIGN
BIDMC,BIDMC_Slide10,DCSIGN
BIDMC,BIDMC_Slide11,DCSIGN
BIDMC,BIDMC_Slide12,DCSIGN
BIDMC,BIDMC_Slide13,DCSIGN
BIDMC,BIDMC_Slide14,DCSIGN
BIDMC,BIDMC_Slide15,DCSIGN
BIDMC,BIDMC_Slide16,DCSIGN
BIDMC,BIDMC_Slide17,DCSIGN
BIDMC,BIDMC_Slide18,DCSIGN
BIDMC,BIDMC_Slide19,DCSIGN
BIDMC,BIDMC_Slide20,DCSIGN
BIDMC,BIDMC_Slide21,DCSIGN
BIDMC,BIDMC_Slide22,DCSIGN
BIDMC,BIDMC_Slide23,DCSIGN
BIDMC,BIDMC_Slide24,DCSIGN
BIDMC,BIDMC_Slide21,CD138
Stanford,Stanford_Slide8,PD-L1
Stanford,Stanford_Slide8,PDL1
Stanford_MIBI_Colon,Stanford_MIBI_Colon_Tris_40min,Mast Cell Tryptase
Stanford_MIBI_Colon,Stanford_MIBI_Colon_Tris_10min,CD4
Stanford_MIBI_Colon,Stanford_MIBI_Colon_Citra_20min,CD4
Stanford_MIBI_Colon,Stanford_MIBI_Colon_Citra_20min,CD8
Stanford_MIBI_Liver,Stanford_MIBI_Liver_Citra_20min,CD31
Stanford_MIBI_Liver,Stanford_MIBI_Liver_Citra_20min,CD8
Stanford_MIBI_Liver,Stanford_MIBI_Liver_Citra_20min,CD3e
Stanford_MIBI_Liver,Stanford_MIBI_Liver_Tris_10min,CD3e
Stanford_MIBI_LymphNode_pooled,Stanford_MIBI_Slide5,FOXP3
Stanford_Orion_Endometrium,Stanford_Orion_Endometrium_Citra_20min,CD4
Stanford_Orion_Endometrium,Stanford_Orion_Endometrium_Citra_20min,PDL1
Stanford_Orion_Endometrium,Stanford_Orion_Endometrium_Citra_20min,CD45RO
Stanford_Orion_Endometrium,Stanford_Orion_Endometrium_Citra_20min,PD1
Stanford_Orion_Endometrium,Stanford_Orion_Endometrium_Tris_10min,CD45RO
Stanford_Orion_Lymph_node,Stanford_Orion_LymphNode_Citra_20min,CD45RO
Novartis_Tonsil,Novartis_tonsil_Citra_20min,Ki67
Novartis_Tonsil,Novartis_tonsil_Tris_40min,CD8
Novartis_Tonsil,Novartis_tonsil_Citra_20min,CD8
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Tris_10min,CD209
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Citra_20min,CD209
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Tris_10min,CD16
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Citra_20min,CD16
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Tris_10min,PD1
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Citra_20min,PD1
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Tris_10min,pMK2
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Citra_20min,pMK2
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Tris_10min,pSTAT3
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Citra_20min,pSTAT3
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Tris_10min,TenascinC
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Citra_20min,TenascinC
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Citra_20min,CD4
Stanford_IMC_Tonsil,Stanford_IMC_Tonsil_Citra_20min,SOX9
