Source,Exclude_type,Exclude_value
Roche,Marker,CD68
Roche,Marker,Pan-Cytokeratin
Roche,Marker,Ki67
Roche,Marker,Cytokeratin
Roche,Marker,CK
BIDMC,Marker,CD56
BIDMC,Marker,DCSIGN
Stanford,Marker,FOXP3
Stanford,Marker,PanCK
Stanford,Marker,CK
Stanford,Marker,X02_AF1
Stanford,Marker,X03_ArgoFluor520
Stanford,Marker,X05_ArgoFluor548
Stanford,Marker,X06_AF2
Stanford,Marker,X16_ArgoFluor760
Stanford-scan1,Marker,X02_AF1
Stanford-scan1,Marker,X03_ArgoFluor520
Stanford-scan1,Marker,X05_ArgoFluor548
Stanford-scan1,Marker,X06_AF2
Stanford-scan1,Marker,X16_ArgoFluor760
