"Source","Compare1","Compare2"
"Roche","Roche_Slide2_Scan1","Roche_Slide6_Scan1"
"Roche","Roche_Slide2_Scan1","Roche_Slide10_Scan1"
"Roche","Roche_Slide2_Scan1","Roche_Slide14_Scan1"
"Roche","Roche_Slide2_Scan1","Roche_Slide18_Scan1"
"Roche","Roche_Slide2_Scan1","Roche_Slide22_Scan1"
"Roche","Roche_Slide6_Scan1","Roche_Slide10_Scan1"
"Roche","Roche_Slide6_Scan1","Roche_Slide14_Scan1"
"Roche","Roche_Slide6_Scan1","Roche_Slide18_Scan1"
"Roche","Roche_Slide6_Scan1","Roche_Slide22_Scan1"
"Roche","Roche_Slide10_Scan1","Roche_Slide14_Scan1"
"Roche","Roche_Slide10_Scan1","Roche_Slide18_Scan1"
"Roche","Roche_Slide10_Scan1","Roche_Slide22_Scan1"
"Roche","Roche_Slide14_Scan1","Roche_Slide18_Scan1"
"Roche","Roche_Slide14_Scan1","Roche_Slide22_Scan1"
"Roche","Roche_Slide18_Scan1","Roche_Slide22_Scan1"
"BIDMC","BIDMC_Slide10","BIDMC_Slide11"
"BIDMC","BIDMC_Slide10","BIDMC_Slide12"
"BIDMC","BIDMC_Slide10","BIDMC_Slide13"
"BIDMC","BIDMC_Slide10","BIDMC_Slide14"
"BIDMC","BIDMC_Slide10","BIDMC_Slide15"
"BIDMC","BIDMC_Slide10","BIDMC_Slide16"
"BIDMC","BIDMC_Slide10","BIDMC_Slide17"
"BIDMC","BIDMC_Slide10","BIDMC_Slide18"
"BIDMC","BIDMC_Slide10","BIDMC_Slide19"
"BIDMC","BIDMC_Slide10","BIDMC_Slide1"
"BIDMC","BIDMC_Slide10","BIDMC_Slide20"
"BIDMC","BIDMC_Slide10","BIDMC_Slide21"
"BIDMC","BIDMC_Slide10","BIDMC_Slide22"
"BIDMC","BIDMC_Slide10","BIDMC_Slide23"
"BIDMC","BIDMC_Slide10","BIDMC_Slide24"
"BIDMC","BIDMC_Slide10","BIDMC_Slide2"
"BIDMC","BIDMC_Slide10","BIDMC_Slide3"
"BIDMC","BIDMC_Slide10","BIDMC_Slide4"
"BIDMC","BIDMC_Slide10","BIDMC_Slide5"
"BIDMC","BIDMC_Slide10","BIDMC_Slide6"
"BIDMC","BIDMC_Slide10","BIDMC_Slide7"
"BIDMC","BIDMC_Slide10","BIDMC_Slide8"
"BIDMC","BIDMC_Slide10","BIDMC_Slide9"
"BIDMC","BIDMC_Slide11","BIDMC_Slide12"
"BIDMC","BIDMC_Slide11","BIDMC_Slide13"
"BIDMC","BIDMC_Slide11","BIDMC_Slide14"
"BIDMC","BIDMC_Slide11","BIDMC_Slide15"
"BIDMC","BIDMC_Slide11","BIDMC_Slide16"
"BIDMC","BIDMC_Slide11","BIDMC_Slide17"
"BIDMC","BIDMC_Slide11","BIDMC_Slide18"
"BIDMC","BIDMC_Slide11","BIDMC_Slide19"
"BIDMC","BIDMC_Slide11","BIDMC_Slide1"
"BIDMC","BIDMC_Slide11","BIDMC_Slide20"
"BIDMC","BIDMC_Slide11","BIDMC_Slide21"
"BIDMC","BIDMC_Slide11","BIDMC_Slide22"
"BIDMC","BIDMC_Slide11","BIDMC_Slide23"
"BIDMC","BIDMC_Slide11","BIDMC_Slide24"
"BIDMC","BIDMC_Slide11","BIDMC_Slide2"
"BIDMC","BIDMC_Slide11","BIDMC_Slide3"
"BIDMC","BIDMC_Slide11","BIDMC_Slide4"
"BIDMC","BIDMC_Slide11","BIDMC_Slide5"
"BIDMC","BIDMC_Slide11","BIDMC_Slide6"
"BIDMC","BIDMC_Slide11","BIDMC_Slide7"
"BIDMC","BIDMC_Slide11","BIDMC_Slide8"
"BIDMC","BIDMC_Slide11","BIDMC_Slide9"
"BIDMC","BIDMC_Slide12","BIDMC_Slide13"
"BIDMC","BIDMC_Slide12","BIDMC_Slide14"
"BIDMC","BIDMC_Slide12","BIDMC_Slide15"
"BIDMC","BIDMC_Slide12","BIDMC_Slide16"
"BIDMC","BIDMC_Slide12","BIDMC_Slide17"
"BIDMC","BIDMC_Slide12","BIDMC_Slide18"
"BIDMC","BIDMC_Slide12","BIDMC_Slide19"
"BIDMC","BIDMC_Slide12","BIDMC_Slide1"
