"Source","Compare1","Compare2"
"Roche","Roche_10","Roche_14"
"Roche","Roche_10","Roche_18"
"Roche","Roche_10","Roche_22"
"Roche","Roche_10","Roche_2"
"Roche","Roche_10","Roche_6"
"Roche","Roche_14","Roche_18"
"Roche","Roche_14","Roche_22"
"Roche","Roche_14","Roche_2"
"Roche","Roche_14","Roche_6"
"Roche","Roche_18","Roche_22"
"Roche","Roche_18","Roche_2"
"Roche","Roche_18","Roche_6"
"Roche","Roche_22","Roche_2"
"Roche","Roche_22","Roche_6"
"Roche","Roche_2","Roche_6"
"BIDMC","BIDMC_10","BIDMC_11"
"BIDMC","BIDMC_10","BIDMC_12"
"BIDMC","BIDMC_10","BIDMC_13"
"BIDMC","BIDMC_10","BIDMC_14"
"BIDMC","BIDMC_10","BIDMC_15"
"BIDMC","BIDMC_10","BIDMC_16"
"BIDMC","BIDMC_10","BIDMC_17"
"BIDMC","BIDMC_10","BIDMC_18"
"BIDMC","BIDMC_10","BIDMC_19"
"BIDMC","BIDMC_10","BIDMC_1"
"BIDMC","BIDMC_10","BIDMC_20"
"BIDMC","BIDMC_10","BIDMC_21"
"BIDMC","BIDMC_10","BIDMC_22"
"BIDMC","BIDMC_10","BIDMC_23"
"BIDMC","BIDMC_10","BIDMC_24"
"BIDMC","BIDMC_10","BIDMC_2"
"BIDMC","BIDMC_10","BIDMC_3"
"BIDMC","BIDMC_10","BIDMC_4"
"BIDMC","BIDMC_10","BIDMC_5"
"BIDMC","BIDMC_10","BIDMC_6"
"BIDMC","BIDMC_10","BIDMC_7"
"BIDMC","BIDMC_10","BIDMC_8"
"BIDMC","BIDMC_10","BIDMC_9"
"BIDMC","BIDMC_11","BIDMC_12"
"BIDMC","BIDMC_11","BIDMC_13"
"BIDMC","BIDMC_11","BIDMC_14"
"BIDMC","BIDMC_11","BIDMC_15"
"BIDMC","BIDMC_11","BIDMC_16"
"BIDMC","BIDMC_11","BIDMC_17"
"BIDMC","BIDMC_11","BIDMC_18"
"BIDMC","BIDMC_11","BIDMC_19"
"BIDMC","BIDMC_11","BIDMC_1"
"BIDMC","BIDMC_11","BIDMC_20"
"BIDMC","BIDMC_11","BIDMC_21"
"BIDMC","BIDMC_11","BIDMC_22"
"BIDMC","BIDMC_11","BIDMC_23"
"BIDMC","BIDMC_11","BIDMC_24"
"BIDMC","BIDMC_11","BIDMC_2"
"BIDMC","BIDMC_11","BIDMC_3"
"BIDMC","BIDMC_11","BIDMC_4"
"BIDMC","BIDMC_11","BIDMC_5"
"BIDMC","BIDMC_11","BIDMC_6"
"BIDMC","BIDMC_11","BIDMC_7"
"BIDMC","BIDMC_11","BIDMC_8"
"BIDMC","BIDMC_11","BIDMC_9"
"BIDMC","BIDMC_12","BIDMC_13"
"BIDMC","BIDMC_12","BIDMC_14"
"BIDMC","BIDMC_12","BIDMC_15"
"BIDMC","BIDMC_12","BIDMC_16"
"BIDMC","BIDMC_12","BIDMC_17"
"BIDMC","BIDMC_12","BIDMC_18"
"BIDMC","BIDMC_12","BIDMC_19"
"BIDMC","BIDMC_12","BIDMC_1"
"BIDMC","BIDMC_12","BIDMC_20"
"BIDMC","BIDMC_12","BIDMC_21"
"BIDMC","BIDMC_12","BIDMC_22"
"BIDMC","BIDMC_12","BIDMC_23"
"BIDMC","BIDMC_12","BIDMC_24"
"BIDMC","BIDMC_12","BIDMC_2"
"BIDMC","BIDMC_12","BIDMC_3"
"BIDMC","BIDMC_12","BIDMC_4"
"BIDMC","BIDMC_12","BIDMC_5"
"BIDMC","BIDMC_12","BIDMC_6"
"BIDMC","BIDMC_12","BIDMC_7"
"BIDMC","BIDMC_12","BIDMC_8"
"BIDMC","BIDMC_12","BIDMC_9"
"BIDMC","BIDMC_13","BIDMC_14"
"BIDMC","BIDMC_13","BIDMC_15"
"BIDMC","BIDMC_13","BIDMC_16"
"BIDMC","BIDMC_13","BIDMC_17"
"BIDMC","BIDMC_13","BIDMC_18"
"BIDMC","BIDMC_13","BIDMC_19"
"BIDMC","BIDMC_13","BIDMC_1"
"BIDMC","BIDMC_13","BIDMC_20"
"BIDMC","BIDMC_13","BIDMC_21"
"BIDMC","BIDMC_13","BIDMC_22"
"BIDMC","BIDMC_13","BIDMC_23"
"BIDMC","BIDMC_13","BIDMC_24"
"BIDMC","BIDMC_13","BIDMC_2"
"BIDMC","BIDMC_13","BIDMC_3"
"BIDMC","BIDMC_13","BIDMC_4"
"BIDMC","BIDMC_13","BIDMC_5"
"BIDMC","BIDMC_13","BIDMC_6"
"BIDMC","BIDMC_13","BIDMC_7"
"BIDMC","BIDMC_13","BIDMC_8"
"BIDMC","BIDMC_13","BIDMC_9"
"BIDMC","BIDMC_14","BIDMC_15"
"BIDMC","BIDMC_14","BIDMC_16"
"BIDMC","BIDMC_14","BIDMC_17"
"BIDMC","BIDMC_14","BIDMC_18"
"BIDMC","BIDMC_14","BIDMC_19"
"BIDMC","BIDMC_14","BIDMC_1"
"BIDMC","BIDMC_14","BIDMC_20"
"BIDMC","BIDMC_14","BIDMC_21"
"BIDMC","BIDMC_14","BIDMC_22"
"BIDMC","BIDMC_14","BIDMC_23"
"BIDMC","BIDMC_14","BIDMC_24"
"BIDMC","BIDMC_14","BIDMC_2"
"BIDMC","BIDMC_14","BIDMC_3"
"BIDMC","BIDMC_14","BIDMC_4"
"BIDMC","BIDMC_14","BIDMC_5"
"BIDMC","BIDMC_14","BIDMC_6"
"BIDMC","BIDMC_14","BIDMC_7"
"BIDMC","BIDMC_14","BIDMC_8"
"BIDMC","BIDMC_14","BIDMC_9"
"BIDMC","BIDMC_15","BIDMC_16"
"BIDMC","BIDMC_15","BIDMC_17"
"BIDMC","BIDMC_15","BIDMC_18"
"BIDMC","BIDMC_15","BIDMC_19"
"BIDMC","BIDMC_15","BIDMC_1"
"BIDMC","BIDMC_15","BIDMC_20"
"BIDMC","BIDMC_15","BIDMC_21"
"BIDMC","BIDMC_15","BIDMC_22"
"BIDMC","BIDMC_15","BIDMC_23"
"BIDMC","BIDMC_15","BIDMC_24"
"BIDMC","BIDMC_15","BIDMC_2"
"BIDMC","BIDMC_15","BIDMC_3"
"BIDMC","BIDMC_15","BIDMC_4"
"BIDMC","BIDMC_15","BIDMC_5"
"BIDMC","BIDMC_15","BIDMC_6"
"BIDMC","BIDMC_15","BIDMC_7"
"BIDMC","BIDMC_15","BIDMC_8"
"BIDMC","BIDMC_15","BIDMC_9"
"BIDMC","BIDMC_16","BIDMC_17"
"BIDMC","BIDMC_16","BIDMC_18"
"BIDMC","BIDMC_16","BIDMC_19"
"BIDMC","BIDMC_16","BIDMC_1"
"BIDMC","BIDMC_16","BIDMC_20"
"BIDMC","BIDMC_16","BIDMC_21"
"BIDMC","BIDMC_16","BIDMC_22"
